,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature_medellin,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
350,41,"['2013', 'w39']",2013,201339,2013-09-28,9,21.3465943336487,76.96532453956533,77.3195704298895,76.7969691435568
351,43,"['2013', 'w40']",2013,201340,2013-10-05,10,21.063607692718502,36.85434742818339,38.02503787192746,36.216161426245975
352,42,"['2013', 'w41']",2013,201341,2013-10-12,10,21.063607692718502,77.11031752242913,78.0134925833071,76.61126627622555
353,48,"['2013', 'w42']",2013,201342,2013-10-19,10,21.063607692718502,44.37990525875879,45.05569146059562,44.18680801835472
354,48,"['2013', 'w43']",2013,201343,2013-10-26,10,21.063607692718502,28.61178898229468,29.823966472736306,28.038578961265067
355,40,"['2013', 'w44']",2013,201344,2013-11-02,11,20.767346382141106,90.46686671224792,91.602192017652,89.66642058299671
356,48,"['2013', 'w45']",2013,201345,2013-11-09,11,20.767346382141106,22.96673287035377,24.906585534874374,22.281453136507867
357,37,"['2013', 'w46']",2013,201346,2013-11-16,11,20.767346382141106,47.17681636738686,36.88562400559873,51.823304216408154
358,46,"['2013', 'w47']",2013,201347,2013-11-23,11,20.767346382141106,40.69334285847087,46.55843714239517,38.151898079849296
359,41,"['2013', 'w48']",2013,201348,2013-11-30,11,20.767346382141106,65.44783438923064,78.01005548209959,59.77761670404358
360,38,"['2013', 'w49']",2013,201349,2013-12-07,12,20.90154457092289,20.39019810191084,18.379665089574992,21.25597770430629
361,48,"['2013', 'w50']",2013,201350,2013-12-14,12,20.90154457092289,33.40714248906686,31.156137565023084,34.403493727810286
362,38,"['2013', 'w51']",2013,201351,2013-12-21,12,20.90154457092289,0.04205273746399766,0.02597112056713749,0.04858582880612256
363,23,"['2013', 'w52']",2013,201352,2013-12-28,12,20.90154457092289,5.078861495281787,0.3520172635138323,7.162798535053514
364,49,"['2014', 'w01']",2014,201401,2014-01-04,1,21.478293895721396,39.03970176511175,43.03715272433516,37.12286528795486
365,57,"['2014', 'w02']",2014,201402,2014-01-11,1,21.478293895721396,0.4232849542130816,0.021005086852732488,0.5983320301709216
366,61,"['2014', 'w03']",2014,201403,2014-01-18,1,21.478293895721396,15.661467980532832,14.131475529463394,16.40116810992569
367,59,"['2014', 'w04']",2014,201404,2014-01-25,1,21.478293895721396,12.881561189778008,13.291830864505492,12.706194535887626
368,39,"['2014', 'w05']",2014,201405,2014-02-01,2,21.511484146118196,1.343628174969192,1.8769147168035092,1.059145705494146
369,38,"['2014', 'w06']",2014,201406,2014-02-08,2,21.511484146118196,10.049571698986098,8.616162318538352,10.7759690351525
370,40,"['2014', 'w07']",2014,201407,2014-02-15,2,21.511484146118196,25.122123558768934,26.56378903642368,24.366107995618915
371,33,"['2014', 'w08']",2014,201408,2014-02-22,2,21.511484146118196,55.931018755641844,60.17390071021186,53.86538619495224
372,30,"['2014', 'w09']",2014,201409,2014-03-01,3,21.9053373336792,43.63585470197198,44.387061167684735,43.126707546537524
373,25,"['2014', 'w10']",2014,201410,2014-03-08,3,21.9053373336792,39.32667521615797,37.95345669714149,39.94056135628809
374,37,"['2014', 'w11']",2014,201411,2014-03-15,3,21.9053373336792,18.440870861461068,18.779286174267387,18.254693193668373
375,32,"['2014', 'w12']",2014,201412,2014-03-22,3,21.9053373336792,10.307088592174804,11.922671679713302,9.62837120660333
376,29,"['2014', 'w13']",2014,201413,2014-03-29,3,21.9053373336792,9.929058126722918,9.885679816047928,9.961174652041002
377,34,"['2014', 'w14']",2014,201414,2014-04-05,4,22.090331077575694,8.898264446753885,10.311366249858471,8.207530719362337
378,32,"['2014', 'w15']",2014,201415,2014-04-12,4,22.090331077575694,36.694410046662796,33.48860350599611,38.27568039816535
379,27,"['2014', 'w16']",2014,201416,2014-04-19,4,22.090331077575694,81.1801270538934,82.90944165515441,80.43505699441707
380,43,"['2014', 'w17']",2014,201417,2014-04-26,4,22.090331077575694,43.57062297753607,43.64035429148282,43.41803821394791
381,44,"['2014', 'w18']",2014,201418,2014-05-03,5,21.4379730224609,48.53005341363043,46.00922420888708,49.60870183101349
382,35,"['2014', 'w19']",2014,201419,2014-05-10,5,21.4379730224609,35.09314513102043,36.9990562743035,34.13434421666004
383,29,"['2014', 'w20']",2014,201420,2014-05-17,5,21.4379730224609,42.56596987119157,39.09285843982789,44.0549885734303
384,29,"['2014', 'w21']",2014,201421,2014-05-24,5,21.4379730224609,62.71903447737831,61.16577549072855,63.378223085425
385,28,"['2014', 'w22']",2014,201422,2014-05-31,5,21.4379730224609,20.05031293973756,18.372644318474666,20.811631853743158
386,45,"['2014', 'w23']",2014,201423,2014-06-07,6,22.060449600219695,34.49131900773329,34.088296674415105,34.826391497296115
387,44,"['2014', 'w24']",2014,201424,2014-06-14,6,22.060449600219695,17.135684529629458,14.940989920770493,18.162702341856484
388,31,"['2014', 'w25']",2014,201425,2014-06-21,6,22.060449600219695,31.016930945077736,28.93680403935161,32.07250546611816
389,44,"['2014', 'w26']",2014,201426,2014-06-28,6,22.060449600219695,20.493606156938807,19.902144433219654,20.793057141344963
390,77,"['2014', 'w27']",2014,201427,2014-07-05,7,22.637585639953603,15.956514484108016,17.438909011935266,15.211363257458995
391,56,"['2014', 'w28']",2014,201428,2014-07-12,7,22.637585639953603,3.183063229012101,3.4633748852112447,3.0647579680133394
392,69,"['2014', 'w29']",2014,201429,2014-07-19,7,22.637585639953603,3.621319423740885,3.5847971543597708,3.644234595582112
393,76,"['2014', 'w30']",2014,201430,2014-07-26,7,22.637585639953603,7.436327002373742,7.625439253175893,7.331336893003232
394,112,"['2014', 'w31']",2014,201431,2014-08-02,8,22.0667409896851,50.696680391834434,47.076994296548435,52.29260747787158
395,97,"['2014', 'w32']",2014,201432,2014-08-09,8,22.0667409896851,39.65025374304518,38.17398119663847,40.415514719523955
396,98,"['2014', 'w33']",2014,201433,2014-08-16,8,22.0667409896851,16.665739059858538,15.576827172956605,17.20012677954809
397,82,"['2014', 'w34']",2014,201434,2014-08-23,8,22.0667409896851,42.63811500096351,42.47760072744987,42.728003503400394
398,88,"['2014', 'w35']",2014,201435,2014-08-30,8,22.0667409896851,14.768871212557645,14.526892985468324,14.860393477735936
399,126,"['2014', 'w36']",2014,201436,2014-09-06,9,21.629320144653306,42.38732118361883,46.83359443968622,40.13606871343338
400,123,"['2014', 'w37']",2014,201437,2014-09-13,9,21.629320144653306,55.967576224454795,56.188263026527736,55.76292833978109
401,117,"['2014', 'w38']",2014,201438,2014-09-20,9,21.629320144653306,25.489879068057146,26.84050938265335,24.770834222725487
402,112,"['2014', 'w39']",2014,201439,2014-09-27,9,21.629320144653306,11.178604854510931,10.600323128124367,11.323238334125705
403,96,"['2014', 'w40']",2014,201440,2014-10-04,10,20.988000869751,94.94198437283127,95.25975249193716,94.75743099342793
404,95,"['2014', 'w41']",2014,201441,2014-10-11,10,20.988000869751,41.82289581528593,41.00922253765345,42.105550599108994
405,68,"['2014', 'w42']",2014,201442,2014-10-18,10,20.988000869751,50.64561492301645,53.803292481795594,49.0273712774881
406,89,"['2014', 'w43']",2014,201443,2014-10-25,10,20.988000869751,48.575025822701534,47.61096425033421,49.127665297348365
407,76,"['2014', 'w44']",2014,201444,2014-11-01,11,21.0688219070435,35.83132434070333,39.3976710923052,33.8504923240017
408,68,"['2014', 'w45']",2014,201445,2014-11-08,11,21.0688219070435,79.86239971237278,77.82359051727441,81.06594711679492
409,68,"['2014', 'w46']",2014,201446,2014-11-15,11,21.0688219070435,7.296234430896773,6.912467553880478,7.469062682141884
410,57,"['2014', 'w47']",2014,201447,2014-11-22,11,21.0688219070435,25.88606188324127,26.1786775920702,25.680061662676536
411,44,"['2014', 'w48']",2014,201448,2014-11-29,11,21.0688219070435,33.772508521924486,34.17890794887635,33.56075715803206
