system:time_start,LST_Day_1km
"Sep 7, 2008",
"Sep 8, 2008",
"Sep 9, 2008",23.415
"Sep 10, 2008",19.498
"Sep 11, 2008",
"Sep 12, 2008",26.728
"Sep 13, 2008",
"Sep 14, 2008",25.426
"Sep 15, 2008",
"Sep 16, 2008",
"Sep 17, 2008",
"Sep 18, 2008",25.069
"Sep 19, 2008",25.204
"Sep 20, 2008",
"Sep 21, 2008",
"Sep 22, 2008",
"Sep 23, 2008",
"Sep 24, 2008",24.541
"Sep 25, 2008",15.696
"Sep 26, 2008",24.275
"Sep 27, 2008",
"Sep 28, 2008",26.659
"Sep 29, 2008",
"Sep 30, 2008",28.234
"Oct 1, 2008",
"Oct 2, 2008",28.476
"Oct 3, 2008",18.899
"Oct 4, 2008",
"Oct 5, 2008",30.172
"Oct 6, 2008",
"Oct 7, 2008",
"Oct 8, 2008",
"Oct 9, 2008",
"Oct 10, 2008",
"Oct 11, 2008",
"Oct 12, 2008",26.373
"Oct 13, 2008",
"Oct 14, 2008",
"Oct 15, 2008",
"Oct 16, 2008",
"Oct 17, 2008",23.789
"Oct 18, 2008",24.35
"Oct 19, 2008",
"Oct 20, 2008",
"Oct 21, 2008",22.06
"Oct 22, 2008",
"Oct 23, 2008",
"Oct 24, 2008",12.973
"Oct 25, 2008",
"Oct 26, 2008",23.95
"Oct 27, 2008",
"Oct 28, 2008",29.255
"Oct 29, 2008",
"Oct 30, 2008",25.483
"Oct 31, 2008",17.238
"Nov 1, 2008",
"Nov 2, 2008",
"Nov 3, 2008",21.27
"Nov 4, 2008",
"Nov 5, 2008",
"Nov 6, 2008",
"Nov 7, 2008",
"Nov 8, 2008",
"Nov 9, 2008",24.232
"Nov 10, 2008",26.462
"Nov 11, 2008",22.434
"Nov 12, 2008",
"Nov 13, 2008",29.615
"Nov 14, 2008",
"Nov 15, 2008",
"Nov 16, 2008",
"Nov 17, 2008",31.161
"Nov 18, 2008",19.006
"Nov 19, 2008",
"Nov 20, 2008",
"Nov 21, 2008",
"Nov 22, 2008",26.931
"Nov 23, 2008",
"Nov 24, 2008",
"Nov 25, 2008",
"Nov 26, 2008",
"Nov 27, 2008",
"Nov 28, 2008",
"Nov 29, 2008",20.841
"Nov 30, 2008",
"Dec 1, 2008",26.332
"Dec 2, 2008",
"Dec 3, 2008",26.674
