,cases_medellin,DATA,YEAR,YearWeek,LastDayWeek,MONTH,temperature,percipitation_medellin,percipitation_medellin_rural,percipitation_medellin_urbano
87,16,"['2008', 'w36']",2008,200836,2008-09-06,9,22.394928571428565,44.03261405090253,45.32233771632835,43.38753367137471
88,22,"['2008', 'w37']",2008,200837,2008-09-13,9,23.42385714285714,14.32876620492977,14.37029543660113,14.26312058103194
89,14,"['2008', 'w38']",2008,200838,2008-09-20,9,25.18771428571429,80.78436254912815,80.01330720238066,81.12951729013285
90,16,"['2008', 'w39']",2008,200839,2008-09-27,9,23.513785714285717,73.12617989913315,74.42930274078812,72.37215076345917
91,18,"['2008', 'w40']",2008,200840,2008-10-04,10,26.08642857142857,72.15683009017515,71.36071787801919,72.4873560686724
92,22,"['2008', 'w41']",2008,200841,2008-10-11,10,28.543857142857146,51.73957033964628,53.258623750659,51.06492928693055
93,19,"['2008', 'w42']",2008,200842,2008-10-18,10,24.97657142857143,93.45557461037939,95.94355807557773,92.16107345196086
94,15,"['2008', 'w43']",2008,200843,2008-10-25,10,19.276785714285715,38.79926854330607,38.04434073351432,39.16531073281524
95,25,"['2008', 'w44']",2008,200844,2008-11-01,11,24.1645,75.1470795701895,77.52682124428128,73.75600432255946
96,23,"['2008', 'w45']",2008,200845,2008-11-08,11,22.03985714285714,37.06265563175638,38.50475296628649,36.28040840122679
97,10,"['2008', 'w46']",2008,200846,2008-11-15,11,27.07764285714286,45.75901038090941,48.82896383165738,44.31289651415764
98,19,"['2008', 'w47']",2008,200847,2008-11-22,11,25.198785714285716,79.92559470636364,84.11700236279032,77.60202488374271
99,15,"['2008', 'w48']",2008,200848,2008-11-29,11,23.451,80.81226269579808,77.34912994126768,82.69060421580569
100,17,"['2008', 'w49']",2008,200849,2008-12-06,12,25.493071428571426,0.0,0.0,0.0
101,13,"['2008', 'w50']",2008,200850,2008-12-13,12,23.52542857142857,60.48817196761365,60.90848909622229,60.06454150468932
102,19,"['2008', 'w51']",2008,200851,2008-12-20,12,21.202142857142857,6.770606025065037,5.805529458971992,7.490779122190737
103,16,"['2008', 'w52']",2008,200852,2008-12-27,12,23.5145,0.0,0.0,0.0
104,4,"['2009', 'w01']",2009,200901,2009-01-03,1,23.81442857142857,0.0555299724571628,0.0,0.08064582238503552
105,4,"['2009', 'w02']",2009,200902,2009-01-10,1,23.716428571428565,27.87591252143219,31.91680024280641,25.90231912507923
106,3,"['2009', 'w03']",2009,200903,2009-01-17,1,21.531857142857145,25.52673551792294,28.93532610354217,24.15279619639073
107,2,"['2009', 'w04']",2009,200904,2009-01-24,1,19.08771428571428,43.37627101833129,40.22288116786792,44.60223410195167
108,3,"['2009', 'w05']",2009,200905,2009-01-31,1,22.715857142857143,22.91936577367994,25.83543266213459,21.48215785770241
109,1,"['2009', 'w06']",2009,200906,2009-02-07,2,24.14907142857143,19.20378558935429,21.06321230165049,18.55190591134063
110,1,"['2009', 'w07']",2009,200907,2009-02-14,2,23.291999999999998,37.29949782140181,41.23879369468505,35.30404846252652
111,3,"['2009', 'w08']",2009,200908,2009-02-21,2,23.89107142857143,29.20403044267463,30.24809092001063,28.71962572237767
112,1,"['2009', 'w09']",2009,200909,2009-02-28,2,24.477214285714286,12.8783803697033,14.10156173706055,12.31943204337304
113,1,"['2009', 'w10']",2009,200910,2009-03-07,3,21.874285714285715,54.5451483669269,54.47140727204401,54.64885786224943
114,2,"['2009', 'w11']",2009,200911,2009-03-14,3,23.12,6.962505070679713,7.657078241265339,6.549646597061683
115,4,"['2009', 'w12']",2009,200912,2009-03-21,3,23.274714285714282,41.62467381250836,45.74629733504881,39.78807589089105
116,0,"['2009', 'w13']",2009,200913,2009-03-28,3,23.249714285714287,69.64152872886224,67.52426270609317,70.50993150527323
117,2,"['2009', 'w14']",2009,200914,2009-04-04,4,23.661642857142855,85.76418481261686,86.09718721362128,86.07133732935705
118,3,"['2009', 'w15']",2009,200915,2009-04-11,4,21.271285714285714,22.51142393834818,22.32937578003188,22.51637958758468
119,2,"['2009', 'w16']",2009,200916,2009-04-18,4,21.877428571428567,43.92046855607518,43.53832319208965,44.20811853015095
120,0,"['2009', 'w17']",2009,200917,2009-04-25,4,29.448857142857147,30.12691756102079,30.82519588078854,29.76936927104216
121,1,"['2009', 'w18']",2009,200918,2009-05-02,5,29.0805,82.62970899421056,82.99196341325695,82.35251388965398
122,0,"['2009', 'w19']",2009,200919,2009-05-09,5,24.47192857142857,65.94348699551027,67.88462718143556,65.04836313615152
123,5,"['2009', 'w20']",2009,200920,2009-05-16,5,25.835857142857147,40.77061337145987,37.04322525475912,42.39616311143297
124,5,"['2009', 'w21']",2009,200921,2009-05-23,5,24.96671428571429,26.86709583321479,26.41437864246,27.07752099392611
125,5,"['2009', 'w22']",2009,200922,2009-05-30,5,26.627785714285718,31.7382568089328,31.11973702757831,32.0088584046845
126,7,"['2009', 'w23']",2009,200923,2009-06-06,6,26.665714285714287,26.87149973647623,24.2038740625704,28.13285949700469
127,6,"['2009', 'w24']",2009,200924,2009-06-13,6,23.757571428571428,78.31845589529014,75.12796149299918,80.18292454185836
128,3,"['2009', 'w25']",2009,200925,2009-06-20,6,24.06864285714286,32.60728277244375,30.97942593178312,33.49569337717984
129,6,"['2009', 'w26']",2009,200926,2009-06-27,6,24.451428571428576,53.54465367202133,54.02019996827351,53.48653651114998
130,7,"['2009', 'w27']",2009,200927,2009-07-04,7,23.62542857142857,33.220562057712,31.62594298602303,34.02008819131677
